hEntrez	humanSymbol	mouse_symbols	log2fc	log2fc_mean	adj_p_value	n_mouse_map	sign_flip	n_datasets	direction	osd_sources	liver_disease_rdkg	liver_disease_spokeokn	nafld_trait_digcfdekg	any_liver_trait_digcfdekg	lipid_pathway	phenotype_linked	rdkg_diseases	sources	n_sources	score	tier	rank
8912	CACNA1H	Cacna1h	-4.0775	-4.0775	0.0328389	1	False	1	down in flight	OSD-47	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	6.5	B	15
134	ADORA1	Adora1	1.2317	1.2317	0.000687742	1	False	1	up in flight	OSD-25	False	False	True	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	6.35	B	16
337	APOA4	Apoa4	1.1963	1.1963	2.38579e-05	1	False	1	up in flight	OSD-25	False	False	True	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	6.29	B	17
65991	FUNDC2	Fundc2	1.147	1.147	0.000923004	1	False	1	up in flight	OSD-25	False	False	True	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	6.22	B	18
641371	ACOT1	Acot1|Acot2|Acot5	2.1145	1.5291	4.13738e-05	3	False	1	up in flight	OSD-25	True	False	False	False	False	False	liver cancer	['spoke-genelab', 'rdkg']	2	6.17	B	19
7273	TTN	Ttn	-3.7451	-3.7451	0.0337535	1	False	1	down in flight	OSD-47	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	6.12	B	20
23213	SULF1	Sulf1	-2.5107	-2.5107	0.0178325	1	False	1	down in flight	OSD-47	False	False	False	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	5.77	B	21
11067	DEPP1	Depp1	-1.7252	-1.3736	0.000281436	1	False	2	down in flight	OSD-25|OSD-47	False	False	False	False	False	False		['spoke-genelab']	1	5.59	B	22
79718	TBL1XR1	Tbl1xr1	1.3643	1.3643	1.70731e-05	1	False	1	up in flight	OSD-25	False	False	False	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	5.55	B	23
79071	ELOVL6	Elovl6	-1.2864	-1.2864	0.00408496	1	False	1	down in flight	OSD-25	False	False	False	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	5.43	B	24
63924	CIDEC	Cidec	2.5991	2.5991	1.12049e-06	1	False	1	up in flight	OSD-25	False	True	False	False	False	False		['spoke-genelab', 'spoke-okn']	2	5.4	B	25
79733	E2F8	E2f8	1.1289	1.1289	0.0013885	1	False	1	up in flight	OSD-25	True	False	False	False	False	False	liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract	['spoke-genelab', 'prokn', 'rdkg']	3	5.19	B	26
1384	CRAT	Crat	1.0291	1.0291	4.12544e-06	1	False	1	up in flight	OSD-25	False	False	False	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	5.04	B	27
3164	NR4A1	Nr4a1	-2.0099	-2.0099	0.00172	1	False	1	down in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	5.01	B	28
83401	ELOVL3	Elovl3	1.8779	1.8779	0.000204746	1	False	1	up in flight	OSD-25	False	False	False	False	True	False		['spoke-genelab', 'prokn']	2	4.82	C	29
4616	GADD45B	Gadd45b	2.2018	2.2018	1.79266e-05	1	False	1	up in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'digcfdekg']	2	4.8	C	30
387775	SLC22A10	Slc22a30	-1.1145	-1.1145	3.17098e-05	1	False	1	down in flight	OSD-25	True	False	False	False	False	False	liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract	['spoke-genelab', 'rdkg']	2	4.67	C	31
622	BDH1	Bdh1	1.1071	1.1071	0.000486363	1	False	1	up in flight	OSD-25	True	False	False	False	False	False	drug-induced liver injury	['spoke-genelab', 'rdkg']	2	4.66	C	32
8504	PEX3	Pex3	1.1049	1.1049	0.000101121	1	False	1	up in flight	OSD-25	False	True	False	True	False	False		['spoke-genelab', 'digcfdekg', 'spoke-okn']	3	4.66	C	33
1942	EFNA1	Efna1	-1.087	-1.087	0.000526357	1	False	1	down in flight	OSD-25	False	False	True	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	4.63	C	34
160760	PPTC7	Pptc7	1.0233	1.0233	0.000550902	1	False	1	up in flight	OSD-25	True	False	False	False	False	False	drug-induced liver injury	['spoke-genelab', 'rdkg']	2	4.53	C	35
1861	TOR1A	Tor1a	1.002	1.002	9.69685e-07	1	False	1	up in flight	OSD-25	False	False	True	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	4.5	C	36
775	CACNA1C|CACNA1C-IT2	Cacna1c	-2.9471	-2.9471	0.0366324	1	False	1	down in flight	OSD-47	False	False	False	False	False	False		['spoke-genelab']	1	4.42	C	37
604	BCL6	Bcl6	-1.6103	-1.6103	0.00802322	1	False	1	down in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	4.42	C	38
2820	GPD2	Gpd2	1.5355	1.5355	2.09722e-06	1	False	1	up in flight	OSD-25	False	False	False	False	True	False		['spoke-genelab', 'prokn']	2	4.3	C	39
51478	HSD17B7	Hsd17b7	1.4382	1.4382	0.000357923	1	False	1	up in flight	OSD-25	False	False	False	False	True	False		['spoke-genelab', 'prokn']	2	4.16	C	40
440503	PLIN5	Plin5	1.0605	1.0605	1.69994e-05	1	False	1	up in flight	OSD-25	False	False	True	True	False	False		['spoke-genelab', 'digcfdekg']	2	4.09	C	41
6584	SLC22A5	Slc22a5	1.322	1.322	2.8774e-07	1	False	1	up in flight	OSD-25	False	True	False	False	False	False		['spoke-genelab', 'prokn', 'spoke-okn']	3	3.98	C	42
57561	ARRDC3	Arrdc3	-1.5302	-1.5302	9.44848e-05	1	False	1	down in flight	OSD-47	False	False	False	True	False	False		['spoke-genelab', 'digcfdekg']	2	3.8	C	43
1119	CHKA	Chka	-1.1629	-1.1629	0.00271557	1	False	1	down in flight	OSD-25	False	False	False	False	True	False		['spoke-genelab', 'prokn']	2	3.74	C	44
50999	TMED5	Tmed5	1.1617	1.1617	2.38191e-05	1	False	1	up in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	3.74	C	45
57552	NCEH1	Nceh1	1.1282	1.1282	0.000267698	1	False	1	up in flight	OSD-25	False	False	False	False	True	False		['spoke-genelab', 'prokn']	2	3.69	C	46
1592	CYP26A1	Cyp26a1	-1.1063	-1.1063	0.00627134	1	False	1	down in flight	OSD-25	False	False	False	False	True	False		['spoke-genelab', 'prokn']	2	3.66	C	47
5238	PGM3	Pgm3	1.0814	1.0814	0.00335912	1	False	1	up in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	3.62	C	48
5918	RARRES1	Rarres1	1.9883	1.9883	7.83277e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	3.48	C	49
10808	HSPH1	Hsph1	-1.9583	-1.9583	4.32814e-05	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	3.44	C	50
83729	INHBE	Inhbe	1.8836	1.8836	6.83591e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	3.33	C	51
9697	TRAM2	Tram2	1.216	1.216	2.38654e-07	1	False	1	up in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'digcfdekg']	2	3.32	C	52
118788	PIK3AP1	Pik3ap1	1.1764	1.1764	1.21032e-05	1	False	1	up in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'digcfdekg']	2	3.26	C	53
10440	TIMM17A	Timm17a	1.1235	1.1235	1.55839e-05	1	False	1	up in flight	OSD-25	False	False	False	True	False	False		['spoke-genelab', 'digcfdekg']	2	3.19	C	54
84803	GPAT3	Gpat3	2.0694	2.0694	2.38654e-07	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	3.1	C	55
1026	CDKN1A	Cdkn1a	1.6626	1.6626	0.000240587	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.99	C	56
130013	ACMSD	Acmsd	-1.6147	-1.6147	1.05087e-06	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.92	C	57
64222	TOR3A	Tor3a	1.8409	1.8409	6.76353e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.76	C	58
55714	TENM3	Tenm3	1.4948	1.4948	6.5053e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.74	C	59
1135	CHRNA2	Chrna2	1.4273	1.4273	1.08937e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.64	C	60
22824	HSPA4L	Hspa4l	-1.3619	-1.3619	1.03034e-07	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.54	C	61
5033	P4HA1	P4ha1	-1.3599	-1.3599	5.61684e-05	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.54	C	62
8876	VNN1	Vnn1	1.3415	1.3415	0.000358349	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.51	C	63
5144	PDE4D	Pde4d	1.3057	1.3057	2.8774e-07	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.46	C	64
2521	FUS	Fus	1.2908	1.2908	9.20916e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.44	C	65
6906	SERPINA7	Serpina7	1.2807	1.2807	0.0458775	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.42	C	66
56261	GPCPD1	Gpcpd1	1.5945	1.5945	0.000329533	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.39	C	67
6536	SLC6A9	Slc6a9	1.2135	1.2135	0.000128864	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.32	C	68
84910	TMEM87B	Tmem87b	1.5421	1.5421	1.79266e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.31	C	69
27314	RAB30	Rab30	1.53	1.53	0.000106862	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.3	C	70
253512	SLC25A30	Slc25a30	1.1958	1.1958	0.0103298	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.29	C	71
10110	SGK2	Sgk2	1.1869	1.1869	0.00114471	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.28	C	72
2863	GPR39	Gpr39	1.1795	1.1795	2.38579e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.27	C	73
152404	IGSF11	Igsf11	1.156	1.156	3.02766e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.23	C	74
9760	TOX	Tox	1.1542	1.1542	6.69068e-07	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.23	C	75
10963	STIP1	Stip1	-1.1202	-1.1202	2.8774e-07	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.18	C	76
26057	ANKRD17	Ankrd17	1.0808	1.0808	0.00437265	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.12	C	77
23212	RRS1	Rrs1	1.0682	1.0682	0.000475725	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.1	C	78
3419	IDH3A	Idh3a	1.0621	1.0621	7.56811e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.09	C	79
2590	GALNT2	Galnt2	1.0574	1.0574	3.38641e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.09	C	80
6526	SLC5A3	Slc5a3	-1.3637	-1.3637	3.65326e-06	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.05	C	81
3927	LASP1	Lasp1	-1.0351	-1.0351	1.49133e-05	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.05	C	82
55915	LANCL2	Lancl2	1.0314	1.0314	1.75643e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.05	C	83
202	CRYBG1	Crybg1	1.0267	1.0267	0.000901782	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.04	C	84
79694	MANEA	Manea	1.0237	1.0237	0.00011982	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.04	C	85
1153	CIRBP	Cirbp	1.0212	1.0212	0.000319783	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.03	C	86
10290	SPEG	Speg	1.012	1.012	0.0321181	1	False	1	up in flight	OSD-137	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.02	C	87
55959	SULF2	Sulf2	1.0099	1.0099	1.96444e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	2.01	C	88
100528062	GPRASP2|ARMCX5-GPRASP2	Bhlhb9	1.3336	1.3336	0.00035935	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.0	C	89
80823	BHLHB9	Bhlhb9	1.3336	1.3336	0.00035935	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	2.0	C	90
148523	CIART	Ciart	1.3147	1.3147	0.00643471	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.97	C	91
55640	FLVCR2	Flvcr2	1.3038	1.3038	0.000738608	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.96	C	92
54946	SLC41A3	Slc41a3	1.2954	1.2954	5.55622e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.94	C	93
7336	UBE2V2	Ube2v2	1.2881	1.2881	1.61583e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.93	C	94
22901	ARSG	Arsg	1.2526	1.2526	4.89248e-07	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.88	C	95
6857	SYT1	Syt1	1.2356	1.2356	0.00203409	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.85	C	96
53838	C11orf24	1810055G02Rik	1.1887	1.1887	0.00080156	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.78	C	97
56246	MRAP	Mrap	1.1798	1.1798	0.000118163	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.77	C	98
388403	YPEL2	Ypel2	-1.1702	-1.1702	0.000495032	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.76	C	99
254439	C11orf86	2010003K11Rik	1.1542	1.1542	8.92989e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.73	C	100
50486	G0S2	G0s2	1.136	1.136	0.00153049	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.7	C	101
10249	GLYAT	Gm4952	1.1296	1.1296	0.00156571	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.69	C	102
387601	SLC22A25	Slc22a30	-1.1145	-1.1145	3.17098e-05	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.67	C	103
114571	SLC22A9	Slc22a30	-1.1145	-1.1145	3.17098e-05	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.67	C	104
729085	GASK1A	Gask1a	-1.0779	-1.0779	0.00607222	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.62	C	105
375298	CERKL	Cerkl	1.0727	1.0727	0.000476236	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.61	C	106
54884	RETSAT	Retsat	1.0714	1.0714	0.000275172	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.61	C	107
8048	CSRP3	Csrp3	1.0603	1.0603	0.000120305	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.59	C	108
343	AQP8	Aqp8	1.0601	1.0601	0.0101192	1	False	1	up in flight	OSD-47	False	False	False	False	False	False		['spoke-genelab']	1	1.59	C	109
163351	GBP6	Gbp11	-1.0555	-1.0555	0.00295845	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.58	C	110
63899	NSUN3	Nsun3	1.0528	1.0528	0.000528475	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.58	C	111
55337	SHFL	Shfl	-1.0429	-1.0429	0.0048024	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.56	C	112
9935	MAFB	Mafb	1.0363	1.0363	0.0172875	1	False	1	up in flight	OSD-47	False	False	False	False	False	False		['spoke-genelab']	1	1.55	C	113
130872	AHSA2P	Ahsa2	-1.0209	-1.0209	2.81179e-06	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.53	C	114
79791	FBXO31	Fbxo31	1.0152	1.0152	1.26288e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.52	C	115
57546	PDP2	Pdp2	1.0138	1.0138	5.41103e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.52	C	116
9121	SLC16A5	Slc16a5	1.0128	1.0128	0.000171757	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.52	C	117
89874	SLC25A21	Slc25a21	1.0125	1.0125	0.000324631	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.52	C	118
8507	ENC1	Enc1	1.0122	1.0122	3.53789e-05	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.52	C	119
83862	TMEM120A	Tmem120a	1.011	1.011	1.05087e-06	1	False	1	up in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.52	C	120
648791	PPP1R3G	Ppp1r3g	-1.0089	-1.0089	0.0386272	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.51	C	121
345611	IRGM	Irgm2	-1.0039	-1.0039	0.0404764	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.51	C	122
379	ARL4D	Arl4d	-1.0014	-1.0014	0.000324631	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.5	C	123
10050	SLC17A4	Slc17a4	-1.0006	-1.0006	0.000119764	1	False	1	down in flight	OSD-25	False	False	False	False	False	False		['spoke-genelab']	1	1.5	C	124
